City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cabo san lucas,22.8909,-109.9124,75.76,55,100,1.01,MX,1705423829
1,invercargill,-46.4,168.35,54.01,85,29,3.0,NZ,1705424002
2,blackmans bay,-43.0167,147.3167,64.53,82,83,10.33,AU,1705424003
3,college,64.8569,-147.8028,11.07,85,75,3.44,US,1705424003
4,yaren,-0.5472,166.916,82.53,81,76,11.18,NR,1705424004
5,lebu,-37.6167,-73.65,62.92,73,1,17.92,CL,1705424004
6,labrador city,52.9463,-66.9114,-2.29,84,20,0.0,CA,1705424005
7,karatuzskoye,53.6072,92.8667,-19.3,99,19,0.47,RU,1705424006
8,antofagasta,-23.65,-70.4,72.68,72,49,10.76,CL,1705424006
9,sisimiut,66.9395,-53.6735,27.52,89,72,5.35,GL,1705424007
10,pariaman,-0.619,100.12,82.45,86,92,3.8,ID,1705424008
11,kharkhorin,47.1975,102.8238,-1.12,99,78,1.79,MN,1705424008
12,margaret river,-33.95,115.0667,74.05,64,79,12.88,AU,1705424009
13,tolanaro,-25.0319,46.9987,82.47,78,75,11.5,MG,1705424010
14,marang,5.2056,103.2059,78.71,88,100,10.33,MY,1705424010
15,igarka,67.4667,86.5833,-36.74,97,35,6.76,RU,1705424011
16,vila velha,-20.3297,-40.2925,87.75,73,20,20.71,BR,1705424012
17,al kharijah,25.4514,30.5464,58.15,39,0,8.57,EG,1705424012
18,belgrade,44.804,20.4651,37.06,65,0,8.05,RS,1705423982
19,taroudant,30.4703,-8.877,75.54,27,97,11.68,MA,1705423953
20,port-aux-francais,-49.35,70.2167,40.98,87,52,12.33,TF,1705424014
21,wuyang,31.9925,116.2472,40.89,84,100,5.26,CN,1705424015
22,kodiak,57.79,-152.4072,31.51,69,0,5.75,US,1705423933
23,puerto ayora,-0.7393,-90.3518,85.96,92,27,7.0,EC,1705424016
24,udachny,66.4167,112.4,-31.56,73,100,6.11,RU,1705424016
25,bethel,41.3712,-73.414,29.48,83,100,8.05,US,1705424017
26,adamstown,-25.066,-130.1015,74.73,73,73,16.28,PN,1705424018
27,naze,28.3667,129.4833,59.92,57,59,12.71,JP,1705424019
28,bontang,0.1333,117.5,76.98,90,100,7.0,ID,1705424019
29,ambovombe,-25.1667,46.0833,75.43,87,25,11.56,MG,1705424020
30,jamestown,42.097,-79.2353,18.46,78,100,14.97,US,1705423928
31,edinburgh of the seven seas,-37.0676,-12.3116,64.69,89,96,11.95,SH,1705424022
32,tromso,69.6496,18.957,15.82,38,0,5.75,NO,1705424022
33,port elizabeth,-33.918,25.5701,74.1,81,75,8.05,ZA,1705423884
34,ajdabiya,30.7554,20.2263,61.56,56,3,7.09,LY,1705424025
35,qazax,41.0933,45.3661,41.68,50,58,5.28,AZ,1705424025
36,puerto natales,-51.7236,-72.4875,54.05,87,100,11.5,CL,1705424026
37,grytviken,-54.2811,-36.5092,37.94,69,48,13.09,GS,1705424027
38,ancud,-41.8697,-73.8203,62.1,67,8,8.88,CL,1705424028
39,khorugh,37.4897,71.553,29.93,91,97,1.9,TJ,1705424029
40,anadyr,64.75,177.4833,-12.5,75,0,2.24,RU,1705424029
41,longyearbyen,78.2186,15.6401,-13.16,58,20,27.63,SJ,1705424032
42,rapid valley,44.0625,-103.1463,20.62,48,0,5.01,US,1705424033
43,akureyri,65.6835,-18.0878,19.33,93,75,23.02,IS,1705424033
44,tosontsengel,48.7567,98.2839,1.89,97,100,1.83,MN,1705424035
45,waitangi,-43.9535,-176.5597,52.83,74,14,9.82,NZ,1705424036
46,hawaiian paradise park,19.5933,-154.9731,74.03,96,0,6.91,US,1705423988
47,petrozavodsk,61.7849,34.3469,20.66,100,100,4.47,RU,1705423990
48,papatowai,-46.5619,169.4708,48.51,92,4,7.76,NZ,1705424038
49,yellowknife,62.456,-114.3525,-23.58,76,20,6.91,CA,1705424038
50,kolonia town,6.964,158.206,80.6,78,100,3.44,FM,1705424039
51,laguna,38.421,-121.4238,50.23,93,100,6.91,US,1705423835
